[2020-08-25 08:59:30.824] [plc_logger] [info] Execution time for plc min loop - ns; 70245 ; mutexlockTime ; 687 ; difference ; 69558
[2020-08-25 08:59:31.024] [plc_logger] [info] Execution time for plc min loop - ns; 64879 ; mutexlockTime ; 607 ; difference ; 64272
[2020-08-25 08:59:31.224] [plc_logger] [info] Execution time for plc min loop - ns; 60376 ; mutexlockTime ; 608 ; difference ; 59768
[2020-08-25 08:59:31.424] [plc_logger] [info] Execution time for plc min loop - ns; 61806 ; mutexlockTime ; 603 ; difference ; 61203
[2020-08-25 08:59:31.624] [plc_logger] [info] Execution time for plc min loop - ns; 45890 ; mutexlockTime ; 1328 ; difference ; 44562
[2020-08-25 08:59:31.824] [plc_logger] [info] Execution time for plc min loop - ns; 74581 ; mutexlockTime ; 1211 ; difference ; 73370
[2020-08-25 08:59:32.024] [plc_logger] [info] Execution time for plc min loop - ns; 43845 ; mutexlockTime ; 638 ; difference ; 43207
[2020-08-25 08:59:32.224] [plc_logger] [info] Execution time for plc min loop - ns; 40116 ; mutexlockTime ; 462 ; difference ; 39654
[2020-08-25 08:59:32.424] [plc_logger] [info] Execution time for plc min loop - ns; 53018 ; mutexlockTime ; 558 ; difference ; 52460
[2020-08-25 08:59:32.624] [plc_logger] [info] Execution time for plc min loop - ns; 51108 ; mutexlockTime ; 307 ; difference ; 50801
[2020-08-25 08:59:32.824] [plc_logger] [info] Execution time for plc min loop - ns; 44055 ; mutexlockTime ; 319 ; difference ; 43736
[2020-08-25 08:59:33.024] [plc_logger] [info] Execution time for plc min loop - ns; 61859 ; mutexlockTime ; 607 ; difference ; 61252
[2020-08-25 08:59:33.224] [plc_logger] [info] Execution time for plc min loop - ns; 38297 ; mutexlockTime ; 301 ; difference ; 37996
[2020-08-25 08:59:33.424] [plc_logger] [info] Execution time for plc min loop - ns; 64607 ; mutexlockTime ; 594 ; difference ; 64013
[2020-08-25 08:59:33.624] [plc_logger] [info] Execution time for plc min loop - ns; 58322 ; mutexlockTime ; 594 ; difference ; 57728
[2020-08-25 08:59:33.825] [plc_logger] [info] Execution time for plc min loop - ns; 1305740 ; mutexlockTime ; 1268260 ; difference ; 37480
[2020-08-25 08:59:34.032] [plc_logger] [info] Execution time for plc min loop - ns; 8514771 ; mutexlockTime ; 8473404 ; difference ; 41367
[2020-08-25 08:59:34.236] [plc_logger] [info] Execution time for plc min loop - ns; 12415834 ; mutexlockTime ; 12344784 ; difference ; 71050
[2020-08-25 08:59:34.424] [plc_logger] [info] Execution time for plc min loop - ns; 40393 ; mutexlockTime ; 1126 ; difference ; 39267
[2020-08-25 08:59:34.624] [plc_logger] [info] Execution time for plc min loop - ns; 44009 ; mutexlockTime ; 438 ; difference ; 43571
[2020-08-25 08:59:34.824] [plc_logger] [info] Execution time for plc min loop - ns; 48964 ; mutexlockTime ; 408 ; difference ; 48556
[2020-08-25 08:59:35.024] [plc_logger] [info] Execution time for plc min loop - ns; 39299 ; mutexlockTime ; 289 ; difference ; 39010
[2020-08-25 08:59:35.224] [plc_logger] [info] Execution time for plc min loop - ns; 39783 ; mutexlockTime ; 568 ; difference ; 39215
[2020-08-25 08:59:35.424] [plc_logger] [info] Execution time for plc min loop - ns; 48869 ; mutexlockTime ; 642 ; difference ; 48227
[2020-08-25 08:59:35.624] [plc_logger] [info] Execution time for plc min loop - ns; 45668 ; mutexlockTime ; 1303 ; difference ; 44365
[2020-08-25 08:59:35.824] [plc_logger] [info] Execution time for plc min loop - ns; 37562 ; mutexlockTime ; 306 ; difference ; 37256
[2020-08-25 08:59:36.024] [plc_logger] [info] Execution time for plc min loop - ns; 32838 ; mutexlockTime ; 413 ; difference ; 32425
[2020-08-25 08:59:36.224] [plc_logger] [info] Execution time for plc min loop - ns; 61405 ; mutexlockTime ; 608 ; difference ; 60797
[2020-08-25 08:59:36.424] [plc_logger] [info] Execution time for plc min loop - ns; 43297 ; mutexlockTime ; 302 ; difference ; 42995
[2020-08-25 08:59:36.624] [plc_logger] [info] Execution time for plc min loop - ns; 63273 ; mutexlockTime ; 794 ; difference ; 62479
[2020-08-25 08:59:36.824] [plc_logger] [info] Execution time for plc min loop - ns; 542415 ; mutexlockTime ; 473552 ; difference ; 68863
[2020-08-25 08:59:37.024] [plc_logger] [info] Execution time for plc min loop - ns; 30817 ; mutexlockTime ; 302 ; difference ; 30515
[2020-08-25 08:59:37.228] [plc_logger] [info] Execution time for plc min loop - ns; 4249977 ; mutexlockTime ; 4212247 ; difference ; 37730
[2020-08-25 08:59:37.431] [plc_logger] [info] Execution time for plc min loop - ns; 7263187 ; mutexlockTime ; 7206691 ; difference ; 56496
[2020-08-25 08:59:37.634] [plc_logger] [info] Execution time for plc min loop - ns; 10012734 ; mutexlockTime ; 9966790 ; difference ; 45944
[2020-08-25 08:59:37.833] [plc_logger] [info] Execution time for plc min loop - ns; 9338636 ; mutexlockTime ; 9277643 ; difference ; 60993
[2020-08-25 08:59:38.024] [plc_logger] [info] Execution time for plc min loop - ns; 69676 ; mutexlockTime ; 1292 ; difference ; 68384
