[2020-08-25 09:13:05.384] [plc_logger] [info] Execution time for plc min loop - ns; 250123899 ; mutexlockTime ; 250075593 ; difference ; 48306
[2020-08-25 09:13:05.436] [plc_logger] [info] Execution time for plc min loop - ns; 52013115 ; mutexlockTime ; 16964930 ; difference ; 35048185
[2020-08-25 09:13:05.969] [plc_logger] [info] Execution time for plc min loop - ns; 532670311 ; mutexlockTime ; 398244140 ; difference ; 134426171
[2020-08-25 09:13:06.263] [plc_logger] [info] Execution time for plc min loop - ns; 294104251 ; mutexlockTime ; 259560412 ; difference ; 34543839
[2020-08-25 09:13:06.561] [plc_logger] [info] Execution time for plc min loop - ns; 297612117 ; mutexlockTime ; 205305155 ; difference ; 92306962
[2020-08-25 09:13:06.777] [plc_logger] [info] Execution time for plc min loop - ns; 216318615 ; mutexlockTime ; 186896992 ; difference ; 29421623
[2020-08-25 09:13:07.308] [plc_logger] [info] Execution time for plc min loop - ns; 530823548 ; mutexlockTime ; 298513452 ; difference ; 232310096
[2020-08-25 09:13:07.681] [plc_logger] [info] Execution time for plc min loop - ns; 373262721 ; mutexlockTime ; 372880481 ; difference ; 382240
[2020-08-25 09:13:08.331] [plc_logger] [info] Execution time for plc min loop - ns; 649608174 ; mutexlockTime ; 41196138 ; difference ; 608412036
[2020-08-25 09:13:08.552] [plc_logger] [info] Execution time for plc min loop - ns; 220919686 ; mutexlockTime ; 220829357 ; difference ; 90329
[2020-08-25 09:13:08.785] [plc_logger] [info] Execution time for plc min loop - ns; 232888814 ; mutexlockTime ; 232844625 ; difference ; 44189
[2020-08-25 09:13:08.803] [plc_logger] [info] Execution time for plc min loop - ns; 18122528 ; mutexlockTime ; 18054470 ; difference ; 68058
[2020-08-25 09:13:09.042] [plc_logger] [info] Execution time for plc min loop - ns; 239364439 ; mutexlockTime ; 214781334 ; difference ; 24583105
[2020-08-25 09:13:09.438] [plc_logger] [info] Execution time for plc min loop - ns; 396169234 ; mutexlockTime ; 396125639 ; difference ; 43595
[2020-08-25 09:13:09.479] [plc_logger] [info] Execution time for plc min loop - ns; 40726976 ; mutexlockTime ; 16888311 ; difference ; 23838665
[2020-08-25 09:13:10.036] [plc_logger] [info] Execution time for plc min loop - ns; 556427900 ; mutexlockTime ; 185448662 ; difference ; 370979238
[2020-08-25 09:13:11.576] [plc_logger] [info] Execution time for plc min loop - ns; 1540287403 ; mutexlockTime ; 450104970 ; difference ; 1090182433
[2020-08-25 09:13:11.856] [plc_logger] [info] Execution time for plc min loop - ns; 280394097 ; mutexlockTime ; 280313161 ; difference ; 80936
[2020-08-25 09:13:12.076] [plc_logger] [info] Execution time for plc min loop - ns; 219885445 ; mutexlockTime ; 219824419 ; difference ; 61026
[2020-08-25 09:13:12.506] [plc_logger] [info] Execution time for plc min loop - ns; 429370041 ; mutexlockTime ; 429308561 ; difference ; 61480
[2020-08-25 09:13:13.038] [plc_logger] [info] Execution time for plc min loop - ns; 532731510 ; mutexlockTime ; 98499830 ; difference ; 434231680
[2020-08-25 09:13:13.061] [plc_logger] [info] Execution time for plc min loop - ns; 23048373 ; mutexlockTime ; 22973822 ; difference ; 74551
[2020-08-25 09:13:13.291] [plc_logger] [info] Execution time for plc min loop - ns; 229369176 ; mutexlockTime ; 206388697 ; difference ; 22980479
[2020-08-25 09:13:13.562] [plc_logger] [info] Execution time for plc min loop - ns; 270958859 ; mutexlockTime ; 203312427 ; difference ; 67646432
[2020-08-25 09:13:14.017] [plc_logger] [info] Execution time for plc min loop - ns; 454898036 ; mutexlockTime ; 199751226 ; difference ; 255146810
[2020-08-25 09:13:14.033] [plc_logger] [info] Execution time for plc min loop - ns; 16015553 ; mutexlockTime ; 15958316 ; difference ; 57237
