[2020-08-25 10:52:03.806] [plc_logger] [info] Execution time for plc min loop - ns; 32766 ; mutexlockTime ; 360 ; difference ; 32406
[2020-08-25 10:52:04.006] [plc_logger] [info] Execution time for plc min loop - ns; 61135 ; mutexlockTime ; 804 ; difference ; 60331
[2020-08-25 10:52:04.206] [plc_logger] [info] Execution time for plc min loop - ns; 39002 ; mutexlockTime ; 623 ; difference ; 38379
[2020-08-25 10:52:04.406] [plc_logger] [info] Execution time for plc min loop - ns; 48829 ; mutexlockTime ; 1101 ; difference ; 47728
[2020-08-25 10:52:04.606] [plc_logger] [info] Execution time for plc min loop - ns; 44195 ; mutexlockTime ; 1698 ; difference ; 42497
[2020-08-25 10:52:04.806] [plc_logger] [info] Execution time for plc min loop - ns; 48734 ; mutexlockTime ; 912 ; difference ; 47822
[2020-08-25 10:52:05.006] [plc_logger] [info] Execution time for plc min loop - ns; 73081 ; mutexlockTime ; 1219 ; difference ; 71862
[2020-08-25 10:52:05.206] [plc_logger] [info] Execution time for plc min loop - ns; 42399 ; mutexlockTime ; 1006 ; difference ; 41393
[2020-08-25 10:52:05.406] [plc_logger] [info] Execution time for plc min loop - ns; 81004 ; mutexlockTime ; 1328 ; difference ; 79676
[2020-08-25 10:52:05.606] [plc_logger] [info] Execution time for plc min loop - ns; 43097 ; mutexlockTime ; 908 ; difference ; 42189
[2020-08-25 10:52:05.806] [plc_logger] [info] Execution time for plc min loop - ns; 82944 ; mutexlockTime ; 1368 ; difference ; 81576
[2020-08-25 10:52:06.006] [plc_logger] [info] Execution time for plc min loop - ns; 55741 ; mutexlockTime ; 851 ; difference ; 54890
[2020-08-25 10:52:06.206] [plc_logger] [info] Execution time for plc min loop - ns; 90248 ; mutexlockTime ; 1254 ; difference ; 88994
[2020-08-25 10:52:06.406] [plc_logger] [info] Execution time for plc min loop - ns; 74503 ; mutexlockTime ; 1278 ; difference ; 73225
[2020-08-25 10:52:06.606] [plc_logger] [info] Execution time for plc min loop - ns; 34362 ; mutexlockTime ; 422 ; difference ; 33940
[2020-08-25 10:52:06.806] [plc_logger] [info] Execution time for plc min loop - ns; 60127 ; mutexlockTime ; 1970 ; difference ; 58157
[2020-08-25 10:52:07.006] [plc_logger] [info] Execution time for plc min loop - ns; 47305 ; mutexlockTime ; 765 ; difference ; 46540
[2020-08-25 10:52:07.206] [plc_logger] [info] Execution time for plc min loop - ns; 43476 ; mutexlockTime ; 1023 ; difference ; 42453
[2020-08-25 10:52:07.406] [plc_logger] [info] Execution time for plc min loop - ns; 50050 ; mutexlockTime ; 1049 ; difference ; 49001
[2020-08-25 10:52:07.606] [plc_logger] [info] Execution time for plc min loop - ns; 41846 ; mutexlockTime ; 356 ; difference ; 41490
[2020-08-25 10:52:07.806] [plc_logger] [info] Execution time for plc min loop - ns; 42418 ; mutexlockTime ; 975 ; difference ; 41443
[2020-08-25 10:52:08.006] [plc_logger] [info] Execution time for plc min loop - ns; 60537 ; mutexlockTime ; 2553 ; difference ; 57984
[2020-08-25 10:52:08.206] [plc_logger] [info] Execution time for plc min loop - ns; 42284 ; mutexlockTime ; 987 ; difference ; 41297
[2020-08-25 10:52:08.406] [plc_logger] [info] Execution time for plc min loop - ns; 41940 ; mutexlockTime ; 752 ; difference ; 41188
[2020-08-25 10:52:08.606] [plc_logger] [info] Execution time for plc min loop - ns; 71756 ; mutexlockTime ; 2694 ; difference ; 69062
[2020-08-25 10:52:08.806] [plc_logger] [info] Execution time for plc min loop - ns; 45880 ; mutexlockTime ; 1011 ; difference ; 44869
[2020-08-25 10:52:09.006] [plc_logger] [info] Execution time for plc min loop - ns; 57894 ; mutexlockTime ; 2452 ; difference ; 55442
[2020-08-25 10:52:09.206] [plc_logger] [info] Execution time for plc min loop - ns; 53794 ; mutexlockTime ; 1170 ; difference ; 52624
[2020-08-25 10:52:09.406] [plc_logger] [info] Execution time for plc min loop - ns; 48122 ; mutexlockTime ; 995 ; difference ; 47127
[2020-08-25 10:52:09.606] [plc_logger] [info] Execution time for plc min loop - ns; 41958 ; mutexlockTime ; 798 ; difference ; 41160
[2020-08-25 10:52:09.806] [plc_logger] [info] Execution time for plc min loop - ns; 40006 ; mutexlockTime ; 717 ; difference ; 39289
[2020-08-25 10:52:10.006] [plc_logger] [info] Execution time for plc min loop - ns; 58721 ; mutexlockTime ; 420 ; difference ; 58301
[2020-08-25 10:52:10.206] [plc_logger] [info] Execution time for plc min loop - ns; 41100 ; mutexlockTime ; 765 ; difference ; 40335
[2020-08-25 10:52:10.406] [plc_logger] [info] Execution time for plc min loop - ns; 45656 ; mutexlockTime ; 1109 ; difference ; 44547
[2020-08-25 10:52:10.606] [plc_logger] [info] Execution time for plc min loop - ns; 66186 ; mutexlockTime ; 1037 ; difference ; 65149
[2020-08-25 10:52:10.806] [plc_logger] [info] Execution time for plc min loop - ns; 62790 ; mutexlockTime ; 1221 ; difference ; 61569
[2020-08-25 10:52:11.006] [plc_logger] [info] Execution time for plc min loop - ns; 50955 ; mutexlockTime ; 765 ; difference ; 50190
[2020-08-25 10:52:11.206] [plc_logger] [info] Execution time for plc min loop - ns; 70557 ; mutexlockTime ; 910 ; difference ; 69647
[2020-08-25 10:52:11.406] [plc_logger] [info] Execution time for plc min loop - ns; 79446 ; mutexlockTime ; 1225 ; difference ; 78221
[2020-08-25 10:52:11.606] [plc_logger] [info] Execution time for plc min loop - ns; 45362 ; mutexlockTime ; 361 ; difference ; 45001
[2020-08-25 10:52:11.806] [plc_logger] [info] Execution time for plc min loop - ns; 46764 ; mutexlockTime ; 870 ; difference ; 45894
[2020-08-25 10:52:12.006] [plc_logger] [info] Execution time for plc min loop - ns; 45754 ; mutexlockTime ; 951 ; difference ; 44803
[2020-08-25 10:52:12.206] [plc_logger] [info] Execution time for plc min loop - ns; 42756 ; mutexlockTime ; 1065 ; difference ; 41691
[2020-08-25 10:52:12.406] [plc_logger] [info] Execution time for plc min loop - ns; 53172 ; mutexlockTime ; 1907 ; difference ; 51265
[2020-08-25 10:52:12.606] [plc_logger] [info] Execution time for plc min loop - ns; 67306 ; mutexlockTime ; 2191 ; difference ; 65115
[2020-08-25 10:52:12.806] [plc_logger] [info] Execution time for plc min loop - ns; 49975 ; mutexlockTime ; 2034 ; difference ; 47941
[2020-08-25 10:52:13.006] [plc_logger] [info] Execution time for plc min loop - ns; 59786 ; mutexlockTime ; 1950 ; difference ; 57836
[2020-08-25 10:52:13.206] [plc_logger] [info] Execution time for plc min loop - ns; 47920 ; mutexlockTime ; 1032 ; difference ; 46888
[2020-08-25 10:52:13.406] [plc_logger] [info] Execution time for plc min loop - ns; 43409 ; mutexlockTime ; 977 ; difference ; 42432
